"Mobile phone is a required filed.","Số điện thoại là bắt buộc."
"Please specify a valid phone number.","Vui lòng nhập đúng định dạng số điện thoại, bắt đầu bằng 0"
"There is already an account with this phone number. Please try with another phone number.","Số điện thoại này đã được đăng ký với một tài khoản khác. Vui lòng chọn số khác hoặc chọn quên mật khẩu."
"There is already an account with this email address. If you are sure that it is your email address, <a href="%1">click here</a> to get your password and access your account.", "Địa chỉ email này đã được đăng ký với một tài khoản khác. Nếu bạn chắc chắn rằng đó là địa chỉ email của bạn, hãy nhấp <a href="%1">vào đây</a> để nhận mật khẩu và truy cập vào tài khoản của bạn."
"Please enter a valid email address or telephone", "Vui lòng nhập địa chỉ email hoặc số điện thoại hợp lệ"
"If you have an account, sign in with your email address or telephone.", "Nếu bạn có một tài khoản, đăng nhập với địa chỉ email hoặc số điện thoại của bạn."
"If you have an account, sign in with your email address.", "Nếu bạn có một tài khoản, đăng nhập với địa chỉ email của bạn."
"Please specify a valid phone number", "Vui lòng nhập một số điện thoại hợp lệ"
"Email/Telephone", "Email/Số điện thoại"
"Account with telephone is already exist.", "Tài khoản với số điện thoại đã tồn tại."
